	”character”	”Dialoge”	
11	”Gandalf”	###############################################################################################################################################################################################################################################################	
11	”Frodo”	” Where are you going?”	
11	”Gandalf”	” There are some things that I must see to.”	
11	”Frodo”	” What things?”	
11	”Gandalf”	” Questions. Questions that need answering!”	
11	”Frodo”	” But you've only just arrived! I don't understand.”	
11	”Gandalf”	” < looks back at Frodo > Neither do I. Keep it secret. Keep it safe.”	
11	”Gollum”	” Shire!!! Baggins!!!”	
17	”Gandalf”	###############################################################################################################################################################################################################################################################	
18	”Ringwraith”	” Shire. Baggins.”	
18	”Hobbit”	” < fearful > Baggins. There are no Baggins ‘round here. They’re up in Hobbiton, that way. < points >”	
18	”Rosie”	” Goodnight.”	
18	”Sam”	” Goodnight.”	
18	”Sam”	” Goodnight.”	
18	”Frodo”	” Goodnight Sam.”	
18	”Frodo”	” < startled > Huh?!”	
21	”Gandalf”	” Is it secret?! Is it safe?!”	
22	”Frodo”	” Ah! < hands Gandalf the envelope >”	
22	”Frodo”	” < alarmed > What are you doing?”	
22	”Gandalf”	” Hold out your hand Frodo, it’s quite cool. < drops the Ring on Frodo’s hand > What can you see? Can you see anything?”	
22	”Frodo”	” Nothing. There's nothing... wait. There are markings. It's some form of elvish. I can’t read it.”	
22	”Gandalf”	” There are few who can. The language is that of Mordor, which I will not utter here.”	
22	”Frodo”	” Mordor?”	
22	”Gandalf”	"” In the common tongue it says, ""One Ring to rule them all, One Ring to find them. One Ring to bring them all and in the darkness bind them.""”"	
23	”Gandalf”	” This is the One Ring. Forged by the Dark Lord Sauron in the fires of Mount Doom. Taken by Isildur from the hand of Sauron himself.”	
23	”Frodo”	” Bilbo found it. In Gollum's cave.”	
23	”Gandalf”	” Yes. For sixty years the Ring lay quiet in Bilbo's keeping, prolonging his life, delaying old age. But no longer Frodo. Evil is stirring in Mordor. The Ring has awoken. It's heard its master's call.”	
23	”Frodo”	” But he was destroyed. Sauron was destroyed.”	
23	”Ring”	” < whispers > Isildur…”	
23	”Gandalf”	###############################################################################################################################################################################################################################################################	
24	”Frodo”	” Alright, we put it away. We keep it hidden. We never speak of it again. No one knows it's here, do they? Do they Gandalf?”	
25	”Gandalf”	” There is one other who knew that Bilbo had the Ring. I looked everywhere for the creature Gollum. But the enemy found him first. I don’t know how long they tortured him. Amidst the endless screams and inane babble, they discerned two words”	
25	”Gollum”	” Shire!!! Baggins!!!”	
26	”Frodo”	” Shire. Baggins. But that would lead them here!”	
27	”Hobbit”	” Who goes there?”	
28	”Frodo”	” Take it Gandalf! Take it!”	
28	”Gandalf”	” No Frodo no.”	
28	”Frodo”	” You must take it!”	
28	”Gandalf”	” You cannot offer me this Ring!”	
28	”Frodo”	” I'm giving it to you!”	
28	”Gandalf”	” Don't tempt me Frodo! I dare not take it. Not even to keep it safe. Understand Frodo, I would use this Ring from the desire to do good. But through me, it would wield a power to great and terrible to imagine.”	
28	”Frodo”	” But it cannot stay in the Shire!”	
28	”Gandalf”	” No! No it can't.”	
28	”Frodo”	” What must I do?”	
29	”Gandalf”	” You must leave and leave quickly.”	
29	”Frodo”	” Where? Where do I go?”	
29	”Gandalf”	” Get out of the Shire. Make for the village Bree.”	
29	”Frodo”	” Bree. What about you?”	
29	”Gandalf”	” I'll be waiting for you, at the Inn of the Prancing Pony.”	
29	”Frodo”	” And the Ring will be safe there?”	
29	”Gandalf”	” I don't know Frodo. I don't have any answers. I must see the head of my order. He is both wise and powerful. Trust me Frodo, he’ll know what to do. ”	
30	”Gandalf”	”You’ll have to leave the name of Baggins behind you”	
30	”Frodo”	” I can cut across country easily enough.”	
30	”Gandalf”	” My dear Frodo. Hobbits really are amazing creatures! You can learn all that there is to know about their ways in a month, and yet after a hundred years, they can still surprise you. < hears rustling of the leaves > Get down!”	
30	”Sam”	” Oooff!!”	
30	”Gandalf”	” Confound it all Samwise Gamgee! Have you been eavesdropping?!”	
30	”Sam”	” I have been droppin’ no eves sir, honest. I was just cutting the grass under the window there, if you follow me.”	
30	”Gandalf”	” A little late for trimming the verge don’t you think?”	
30	”Sam”	” I heard raised voices.”	
30	”Gandalf”	” What did you hear?! Speak!!!!”	
30	”Sam”	” N-n-n-nothing important. That is I heard a good deal about a Ring and a Dark Lord and something about the end of the world but… Please, Mister Gandalf sir, don’t hurt me. Don’t turn me into anythin’ --unnatural.”	
30	”Gandalf”	” No, perhaps not. I have thought of a better use for you…”	
31	”Gandalf”	” Come along Samwise, keep up! ”	
32	”Gandalf”	”Be careful both of you. The enemy has many spies in his service”	
34	”Sam”	” This is it.”	
34	”Frodo”	” < turns > This is what?”	
34	”Sam”	” I take one more step, it’ll be the farthest away from home I’ve ever been.”	
34	”Frodo”	” < reassuringly > Come on Sam. Remember what Bilbo used to say”	
36	”Saruman”	” Smoke rises from the mountain of Doom. The hour grows late and Gandalf the Grey rides to Isengard seeking my counsel. For that is why you have come, is it not...my old friend?”	
36	”Gandalf”	” Saruman. < bows >”	
37	”Saruman”	” You are sure of this?”	
37	”Gandalf”	” Beyond any doubt.”	
37	”Saruman”	” The Ring of Power has been found.”	
37	”Gandalf”	” All these long years it was in the Shire, under my very nose.”	
37	”Saruman”	” Yet you did not have the wit to see it. Your love of the halfling’s leaf has clearly slowed your mind.”	
37	”Gandalf”	” But we still have time. Time enough to counter Sauron if we act quickly.”	
37	”Saruman”	” Time?! What time do you think we have?”	
38	”Saruman”	###############################################################################################################################################################################################################################################################	
38	”Gandalf”	” The Eye of Sauron.”	
38	”Saruman”	” He is gathering all evil to him. Very soon he will summon an army great enough to launch an assault upon Middle Earth.”	
38	”Gandalf”	” You know this? How?”	
38	”Saruman”	” I have seen it.”	
38	”Gandalf”	” A Palantir is a dangerous tool, Saruman.”	
38	”Saruman”	” Why? Why should we fear to use it?”	
38	”Gandalf”	” They are not all accounted for, the lost Seeing Stones. We do not know who else may be watching!”	
38	”Saruman”	” The hour is later than you think. Sauron's forces are already moving. The Nine have left Minas Morgul.”	
38	”Gandalf”	” < alarmed > The Nine!”	
38	”Saruman”	” They crossed the River Isen on Midsummer's Eve, disguised as riders in black.”	
38	”Gandalf”	” They've reached the Shire?!”	
38	”Saruman”	” They will find the Ring… and kill the one who carries it.”	
38	”Gandalf”	” Frodo!”	
38	”Saruman”	” You did not seriously think that a hobbit could contend with the will of Sauron? There are none who can. Against the power of Mordor there can be no victory. We must join with him, Gandalf. We must join with Sauron. It would be wise, my friend.”	
38	”Gandalf”	"” Tell me, ""friend"", when did Saruman the wise abandon reason for madness?!”"	
38	”Saruman”	” I gave you the chance of aiding me willingly. But you...have elected...the way of pain!”	
39	”Sam”	” < starts to panic > Mister Frodo? Frodo! Frodo!”	
39	”Sam”	” < sigh > I thought I’d lost you.”	
39	”Frodo”	” What are you talking about?”	
39	”Sam”	” It's just something Gandalf said.”	
39	”Frodo”	” What did he say?”	
39	”Sam”	"” ""Don’t you lose him Samwise Gamgee!"" And I don't mean to.”"	
39	”Frodo”	” < amused > Sam, we're still in the Shire. What could possibly happen?”	
39	”Pippin”	” Frodo? Merry! It's Frodo Baggins.”	
39	”Merry”	” Hello Frodo!”	
39	”Sam”	” Get off him! < hauls Pippin off Frodo > Frodo? Are you all right?”	
39	”Pippin”	” What's the meaning of this?”	
39	”Merry”	” Hold this. < hands vegetables to Sam >”	
39	”Sam”	” You've been into Farmer Maggot's crop!”	
39	”Farmer Maggot”	” < brandishing a scythe > Wait till I get this through you!…Stay out of my fields! You ruffians I’ll catch up with you!”	
39	”Merry”	” ‘Dunno why he is so upset. It’s only a couple of carrots!”	
39	”Pippin”	” And some cabbages. And those few bags of potatoes that we lifted last week and, and the mushrooms the week before!”	
39	”Merry”	” Yes Pippin! My point is, he is clearly overreactin’. Run!”	
40	”Pippin”	” Ooh! That was close”	
40	”Merry”	” Ow! I think I've broken something. < pulls out a broken carrot >”	
40	”Sam”	” Trust a Brandybuck and a Took!”	
40	”Merry”	” What?! That was just a detour, a shortcut.”	
40	”Sam”	” A shortcut to what?”	
40	”Pippin”	” Mushrooms!!!”	
40	”Pippin”	” That’s mine!”	
40	”Hobbits”	” Mmm…”	
40	”Merry”	” Here is a nice one Sam.”	
40	”Frodo”	” I think we should get off the road.”	
40	”Frodo”	” Get off the road! Quick!”	
40	”Sam”	” Shhh! < to Merry and Pippin > Stop it! Be quiet!”	
40	”Merry”	” What was that?”	
41	”Pippin”	” Anything?”	
41	”Frodo”	” Nothing.”	
41	”Pippin”	” What is going on?”	
41	”Merry”	” That Black Rider was looking for something… or someone. Frodo?”	
41	”Sam”	” Get down!”	
41	”Frodo”	” I have to leave the Shire. Sam and I must get to Bree.”	
41	”Merry”	” Right. Buckleberry Ferry. Follow me.”	
41	”Pippin”	” Run! This way, follow me! Run!”	
42	”Merry”	” Get the rope Sam!”	
42	”Sam”	” Frodo!”	
42	”Hobbits”	” Run Frodo!”	
42	”Frodo”	” Go!”	
42	”Hobbits”	” Hurry!”	
42	”Sam”	” Frodo!”	
42	”Hobbits”	” Jump Frodo! Go on faster! Jump!”	
42	”Frodo”	” How far to the nearest crossing?”	
42	”Merry”	” Brandywine Bridge”	
43	”Frodo”	” Come on.”	
43	”Gatekeeper”	” What do you want?”	
43	”Frodo”	” We’re heading for the Prancing Pony.”	
43	”Gatekeeper”	” Hobbits! Four hobbits! What business brings you to Bree?”	
43	”Frodo”	” We wish to stay at the inn. Our business is our own.”	
43	”Gatekeeper”	” Alright young sir, I meant no offence. ‘Tis my job to ask question after nightfall. There’s talk of strange folk abroad. Can’t be too careful.”	
43	”Men of Bree”	” Move! Watch where you're going!”	
45	”Frodo”	” Excuse me?”	
45	”Butterbur”	” Good evening little masters! If you’re seeking accommodation we’ve got some nice, cozy, hobbit-sized rooms available. Mr. uh--”	
45	”Frodo”	” --Underhill, my name’s Underhill.”	
45	”Butterbur”	” Underhill. Hmm.”	
45	”Frodo”	” We’re friends of Gandalf the Grey. Can you tell him we’ve arrived?”	
45	”Butterbur”	” Gandalf? Gandalf? Ohhh yes! I remember, elderly chap, big gray beard, pointy hat. Not seen him for 6 months.”	
45	”Sam”	” What do we do now?”	
46	”Frodo”	” Sam. He’ll be here. He’ll come.”	
46	”Man”	” < to Merry coming from the bar > Get, get out of my way.”	
46	”Pippin”	” What’s that?”	
46	”Merry”	” This my friend, is a pint.”	
46	”Pippin”	” It comes in pints? I’m getting one. < rushes to the bar >”	
46	”Sam”	” You had a whole half already!”	
46	”Sam”	” That fellow’s done nothin’ but starin’ at us since we arrived.”	
46	”Frodo”	” < takes Barliman aside > Excuse me, that man in the corner, who is he?”	
46	”Butterbur”	” He’s one of them rangers. Dangerous folk they are-- all wandering the wilds. What his right name is I’ve never heard but around here, he’s known as Strider.”	
46	”Frodo”	” Strider...”	
46	”The Ring”	” Baggins. Baggins. Baggins. Baggins! Baggins!…”	
46	”Pippin”	” Baggins!”	
46	”Pippin”	"” < at the bar > Sure I know a Baggins. He’s over there, Frodo Baggins. He's my second cousin once removed on his mother's side < listeners laugh, ""It works for him!"" yells one > and my third cousin twice removed on his father's side, if you follow me.”"	
46	”Frodo”	” Pippin! < grabs him >”	
46	”Pippin”	” Steady on!”	
46	”Voice of Sauron”	” You cannot hide! I see you! There is no life in the void, only death!”	
46	”Frodo”	” Ah! < Strider grabs him from behind >”	
49	”Strider”	"” You draw far too much attention to yourself Mr. ""Underhill""! < tosses him up the stairs >”"	
50	”Frodo”	” What do you want?”	
50	”Strider”	” A little more caution from you. That is no trinket you carry.”	
50	”Frodo”	” I carry nothing.”	
50	”Strider”	” Indeed.”	
50	”Strider”	” I can avoid being seen if I wish. But to disappear entirely, that is a rare gift.”	
50	”Frodo”	” Who are you?”	
50	”Strider”	” Are you frightened?”	
50	”Frodo”	” Yes.”	
50	”Strider”	” Not nearly frightened enough. I know what hunts you.”	
50	”Sam”	” *Stand off! / *Let him go! Or I’ll have you Longshanks! [*note to reader”	
50	”Strider”	” You have a stout heart little hobbit, but that will not save you. You can no longer wait for the wizard Frodo. They’re coming.”	
57	”Frodo”	” What are they?”	
57	”Strider”	###############################################################################################################################################################################################################################################################	
58	”Frodo”	” Where are you taking us?”	
58	”Strider”	” Into the wild.”	
58	”Merry”	” < to Frodo > How do we know this Strider is a friend of Gandalf’s?”	
58	”Frodo”	” We have no choice but to trust him.”	
58	”Sam”	” But where is he leading us?”	
58	”Strider”	” To Rivendell Master Gamgee, The House of Elrond.”	
58	”Sam”	” Did you hear that? Rivendell! We’re going to see the elves!”	
59	”Strider”	” Gentlemen, we do not stop till nightfall.”	
59	”Pippin”	” What about breakfast?”	
59	”Strider”	” We’ve already had it.”	
59	”Pippin”	” We've had one yes. What about second breakfast?”	
59	”Merry”	” Don't think he knows about second breakfast Pip.”	
59	”Pippin”	” < alarmed > What about elevenses? Luncheon? Afternoon tea? Dinner? Supper? He knows about them doesn’t he?”	
59	”Merry”	” I wouldn't count on it.”	
59	”Merry”	” < impatiently > Pippin!”	
60	”Saruman”	” < telepathically > The power of Isengard is at your command, Sauron, Lord of the Earth.”	
60	”Voice of Sauron”	” Build me an army worthy of Mordor!”	
61	”Orc”	” What orders from Mordor my Lord? What does the Eye command?”	
61	”Saruman”	” We have work to do!”	
62	”Orcs”	” The trees are strong, my Lord. Their roots go deep.”	
62	”Saruman”	” Rip them all down.”	
63	”Strider”	” This was the great watchtower of Amon Sul. We shall rest here tonight.”	
64	”Strider”	” These are for you. Keep them close. I’m going to have a look around. Stay here.”	
65	”Pippin”	” Can I have some meat?”	
65	”Merry”	” Ok. Want some tomatoes Sam?”	
65	”Merry”	” Great tomatoes”	
65	”Frodo”	” What are you doing?!”	
65	”Merry”	” Tomatoes, sausages, nice crispy bacon.”	
65	”Sam”	” We saved some for you Mr. Frodo.”	
65	”Frodo”	” Put it out you fools! Put it out!”	
65	”Pippin”	” Oh that’s nice! Ash on my tomatoes!”	
65	”All”	” Uh?!”	
65	”Frodo”	” Go!”	
66	”Sam”	” < brandishing his sword > Back you devils!”	
66	”Frodo”	” Aaaahhhh!”	
66	”Sam”	” Frodo! < rushes to his side >”	
66	”Frodo”	” Oh Sam!”	
66	”Sam”	” Strider! Help him Strider.”	
66	”Strider”	” He’s been stabbed by a Morgul blade. < blade dissolves in the wind > This is beyond my skill to heal. He needs elvish medicine.”	
67	”Strider”	” Hurry!”	
67	”Sam”	” We are six days from Rivendell. He’ll never make it!”	
67	”Frodo”	” < whispering > Gandalf…”	
67	”Strider”	” Hold on Frodo.”	
67	”Frodo”	” < cries out > …Gandalf!!!!”	
67	”Gandalf”	” < whispering > Gwaihir. Go, Gwaihir.”	
67	”Sam”	” Mr. Frodo? < to Strider > He’s going cold!”	
70	”Pippin”	” Is he going to die?”	
70	”Strider”	” He’s passing into the shadow world. He will soon become a wraith like them.”	
70	”Merry”	” They’re close.”	
70	”Strider”	” Sam, do you know Athelas plant?”	
70	”Sam”	” Athelas?”	
70	”Strider”	” Kingsfoil.”	
70	”Sam”	” Kingsfoil- uh, that's a weed.”	
70	”Strider”	” It may help to slow the poison. Hurry!”	
71	”Arwen”	” What’s this? A ranger caught off his guard?”	
72	”Arwen”	” Frodo.... Im Arwen. Telin le thaed (I am Arwen. I have come to help you.)”	
72	”Arwen”	” Lasto beth nin. Tolo dan na galad (Hear my voice. Come back to the light)”	
72	”Merry”	” < in awe > Who is she?”	
72	”Arwen”	” < kneels > Frodo!”	
72	”Sam”	” She's an elf.”	
72	”Arwen”	” He's fading!”	
72	”Arwen”	” He's not going to last. We must get him to my father. I’ve been looking for you for 2 days.”	
72	”Merry”	” Where are you taking him?”	
72	”Arwen”	” There are 5 wraiths behind you. Where the other 4 are, I do not know.”	
72	”Strider/Aragorn”	” Dartho guin perian. Rych le ad tolthathon. (Stay with the Hobbits. I will send horses again for you)”	
72	”Arwen”	” Hon mabathon. Rochon ellint im. (I’m the faster rider. I’ll take him.)”	
72	”Strider/Aragorn”	” Andelu i ven. (The road is too dangerous.)”	
72	”Pippin”	” What are they saying?”	
72	”Arwen”	” Frodo fir. Ae athradon i hir, tur gwaith nin beriatha hon. (If I can get across the river, the power of my people will protect him.)”	
72	”Arwen”	” < reassuringly > I do not fear them.”	
72	”Strider/Aragorn”	” Beyest lin.”	
72	”Strider/Aragorn”	” Arwen, ride hard. Don’t look back!”	
76	”Arwen”	” Noro lim, Asfaloth, noro lim! (Ride fast Asfaloth, ride fast!)”	
76	”Sam”	” < to Strider > What are you doing?! Those wraiths are still out there!”	
76	”Arwen”	” Noro lim Asfaloth!!! (Ride faster Asfaloth!)”	
77	”Nazgul”	” Give up the half-fling she-elf!”	
77	”Arwen”	” < draws her sword > If you want him, come and claim him!”	
77	”Arwen”	” Nin o Chithaeglir, lasto beth daer, Rimmo nin Bruinen dan in Ulair!”	
77	”Arwen”	” No! Frodo...No! Frodo, don’t give in! Not now!”	
78	”Arwen”	” < voice over > What grace is given me, let it pass to him, let him be spared, save him.”	
78	”Elrond”	” Lasto beth nin. Tolo dan nan galad. (Hear my voice, come back to the light)”	
78	”Frodo”	” < half-asleep > Where am I?”	
78	”Gandalf”	” You are in the house of Elrond. And it is 10 o’clock in the morning, on October the 24th if you want to know.”	
79	”Frodo”	” Gandalf!”	
79	”Gandalf”	” Yes...I’m here. And you're lucky to be here too. A few more hours and you would have been beyond our aid. But you have some strength in you, my dear hobbit!”	
79	”Frodo”	” What happened Gandalf? Why didn't you meet us?”	
79	”Gandalf”	” Oh I'm sorry Frodo... I was delayed.”	
80	”Saruman”	” Friendship with Saruman is not lightly thrown aside.”	
80	”Saruman”	” One ill turn deserves another. It is over! Embrace the power of the Ring…or embrace your own destruction!”	
80	”Gandalf”	” < slowly raises himself > There is only one Lord of the Ring! Only one can bend it to his will. And he does not share power!”	
80	”Saruman”	” So you have chosen - death.”	
82	”Frodo”	” Gandalf? What is it?”	
82	”Gandalf”	” Nothing Frodo.”	
82	”Sam”	” Frodo! Frodo!”	
82	”Frodo”	” Sam!”	
82	”Sam”	” Bless you, you're awake!”	
82	”Gandalf”	” Sam has hardly left your side.”	
82	”Sam”	” We were that worried about you, weren't we Mr. Gandalf?”	
82	”Gandalf”	” By the skills of Lord Elrond, you're beginning to mend.”	
82	”Elrond”	” Welcome to Rivendell, Frodo Baggins.”	
84	”Frodo”	” Bilbo!”	
85	”Bilbo”	” Hello Frodo my lad!”	
85	”Frodo”	” Bilbo! < hug >”	
85	”Bilbo”	” Oh!”	
85	”Frodo”	"” ""There and Back Again”"	
85	”Bilbo”	” I meant to go back...wander the paths of Mirkwood... visit Laketown...see the Lonely Mountain again. But age it seems have finally caught up with me. < gives Frodo a playful smirk >”	
85	”Frodo”	” I miss the Shire. I spent all my childhood, pretending I was off somewhere else…off with you on one of your adventures! < realizes sadly > My own adventure turned out to be quite different.”	
85	”Frodo”	” I’m not like you Bilbo.”	
85	”Bilbo”	” My dear boy.”	
86	”Sam”	” < to himself > Now what have I forgotten?”	
86	”Frodo”	” Packed already?”	
86	”Sam”	” No harm in being prepared.”	
86	”Frodo”	” I thought you wanted to see the elves Sam.”	
86	”Sam”	” I do!”	
86	”Frodo”	” More than anything.”	
86	”Sam”	” I did! Its just...we did what Gandalf wanted didn't we? We got the Ring this far to Rivendell and then I thought, seen’ as how you’re on the mend, we'd be off soon. Off home.”	
86	”Frodo”	” You're right Sam. We did what we set out to do. < shows the Ring on his palm > The Ring will be safe in Rivendell.”	
86	”Frodo”	” I am ready to go home.”	
87	”Elrond”	” His strength returns.”	
87	”Gandalf”	” That wound will never fully heal. He will carry it the rest of his life.”	
87	”Elrond”	” And yet to have come so far, still bearing the Ring, the hobbit has shown extraordinary resilience to it's evil.”	
